,Long,Short
2013-06-12,0.007044872264184443,0.0635514021428937
2013-06-13,-0.003947276827770785,0.041659689766043305
2013-06-14,0.020371150300898488,0.03515879202455161
2013-06-17,0.018467755939964768,0.0495314702288995
2013-06-18,0.012679968106756156,0.03398146488457406
2013-06-19,0.026756206821331507,0.023556046466621905
2013-06-20,0.006272897401846144,0.029878579059008925
2013-06-21,0.010196637366717443,0.045618904154630366
2013-06-24,0.0033281808645205246,0.07634301145865026
2013-06-25,0.028943967292124874,0.041591482052880935
2013-06-26,0.02045811379787853,0.048017600547676606
2013-06-27,0.0195288390910761,0.04317016346857115
2013-06-28,0.02368777423976067,0.020994496371987293
2013-07-01,0.030025752399506066,0.06247065256161979
2013-07-02,0.01650854285809299,0.048002490310338077
2013-07-03,0.014444354912712575,0.04667610224588161
