2013-09-19,HGS,HAVELLS,MUKANDLTD
2013-09-20,COSMOFILMS,ISMTLTD,NDTV
2013-09-23,VINATIORGA,FEDERALBNK,COSMOFILMS
2013-09-24,TATAINVEST,GRINDWELL,HGS
2013-09-25,GRAPHITE,ZEEMEDIA,GPIL
2013-09-26,COSMOFILMS,MARKSANS,SUVEN
2013-09-27,FEDERALBNK,ICICIBANK,VAIBHAVGBL
2013-09-30,HAVELLS,TCI,IOC
2013-10-01,MRPL,TATAELXSI,EDELWEISS
2013-10-03,CANFINHOME,STLTECH,ZEEMEDIA
2013-10-04,HINDZINC,MAHLIFE,TATAELXSI
2013-10-07,JINDALPOLY,ORIENTPPR,HGS
2013-10-08,BOSCHLTD,CENTRALBK,SCI
2013-10-09,SCI,MRF,GAEL
2013-10-10,ASTRAMICRO,VAIBHAVGBL,GAEL
2013-10-11,ITI,EXIDEIND,NIITLTD
2013-10-14,EXIDEIND,RENUKA,MAHLIFE
2013-10-15,EXIDEIND,TATAELXSI,ASAHIINDIA
2013-10-17,IDFC,ASAHIINDIA,RAYMOND
2013-10-18,PFIZER,UCOBANK,BANKINDIA
2013-10-21,HINDZINC,RENUKA,TCS
2013-10-22,INFY,NCC,MARKSANS
2013-10-23,HINDZINC,JINDALPOLY,MARKSANS
2013-10-24,PRAJIND,TATAMETALI,DREDGECORP
2013-10-25,EDELWEISS,TORNTPOWER,BHARATFORG
2013-10-28,TNPL,SAREGAMA,GEOJITFSL
2013-10-29,KARURVYSYA,TNPL,BHARATFORG
2013-10-30,TATAELXSI,KCP,BHARATFORG
2013-10-31,MMFL,TVTODAY,KCP
2013-11-01,HINDZINC,TRENT,ITI
2013-11-05,FSL,SASKEN,MANALIPETC
2013-11-06,GILLETTE,BOSCHLTD,EDELWEISS
2013-11-07,TNPL,CEATLTD,WIPRO
2013-11-08,ASTRAMICRO,BRITANNIA,VAIBHAVGBL
2013-11-11,BRITANNIA,SANGAMIND,DISHTV
2013-11-12,TNPL,HAVELLS,BGRENERGY
2013-11-13,SPARC,NIITLTD,KCP
2013-11-14,KCP,RALLIS,VAIBHAVGBL
2013-11-18,RAYMOND,EXIDEIND,KARURVYSYA
2013-11-19,JMFINANCIL,CYIENT,MAHLIFE
2013-11-20,MRF,VAIBHAVGBL,GIPCL
2013-11-21,SCI,PNB,SUVEN
2013-11-22,EXIDEIND,RAMCOIND,VAIBHAVGBL
2013-11-25,HLVLTD,ISMTLTD,JINDALSTEL
2013-11-26,DHAMPURSUG,JUBLPHARMA,JINDALPOLY
2013-11-27,NOCIL,TNPL,BHARATFORG
2013-11-28,BOSCHLTD,JMFINANCIL,RALLIS
2013-11-29,SANGAMIND,TNPL,NATIONALUM
2013-12-02,NXTDIGITAL,BRITANNIA,INDORAMA
2013-12-03,JKTYRE,CENTURYPLY,BHARATFORG
2013-12-04,DHAMPURSUG,MARKSANS,LAXMIMACH
2013-12-05,3MINDIA,GODREJCP,ASAHIINDIA
2013-12-06,CRISIL,TEXINFRA,SAREGAMA
2013-12-09,UFLEX,CARBORUNIV,RAYMOND
2013-12-10,GANESHHOUC,TNPL,NIITLTD
2013-12-11,TAJGVK,ASTRAMICRO,INDIANB
2013-12-12,GEPIL,JSWSTEEL,LINDEINDIA
2013-12-13,USHAMART,SWARAJENG,VAIBHAVGBL
