2015-04-20,UFLEX,INGERRAND,NCC,SELMC,REDINGTON,DISHTV,AKZOINDIA,MHRIL,NFL,ESCORTS
2015-04-21,UFLEX,HONDAPOWER,THOMASCOOK,TCI,EVEREADY,ECLERX,MHRIL,SURYAROSNI,HEROMOTOCO,PAGEIND
2015-04-22,HONDAPOWER,SPARC,HIMATSEIDE,HONAUT,THOMASCOOK,IFBIND,RADICO,INFY,DISHTV,63MOONS
2015-04-23,JYOTHYLAB,SARDAEN,MMFL,DISHTV,THOMASCOOK,63MOONS,MANGCHEFER,VTL,BRIGADE,HDFC
2015-04-24,CANBK,SARDAEN,FINPIPE,DISHTV,THOMASCOOK,63MOONS,HONDAPOWER,TCI,MASTEK,MMFL
2015-04-27,SARDAEN,CANBK,ELECTCAST,HONDAPOWER,JSWENERGY,DISHTV,FINPIPE,AKZOINDIA,ACE,TCI
2015-04-28,BASF,KAMDHENU,RSWM,ELECTCAST,SARDAEN,HONDAPOWER,CANBK,WELCORP,VEDL,ASIANPAINT
2015-04-29,KAMDHENU,CENTURYPLY,RSWM,FINCABLES,TAJGVK,TCI,DISHTV,THOMASCOOK,DIVISLAB,GODREJIND
2015-04-30,MANGCHEFER,TCI,IFBIND,DISHTV,GODREJIND,THOMASCOOK,KAMDHENU,TRIDENT,PRAJIND,ORIENTPPR
2015-05-04,IFBIND,MANGCHEFER,MOTHERSUMI,AARTIIND,AJANTPHARM,TRIDENT,CIPLA,PRAJIND,EVEREADY,MUKANDLTD
2015-05-05,ORIENTPPR,CIPLA,VTL,AJANTPHARM,NCLIND,DISHTV,EVEREADY,PRAJIND,GMRINFRA,EMAMILTD
2015-05-06,DISHTV,IFBIND,FINPIPE,NCLIND,EIHOTEL,MRPL,TRIDENT,LT,MANGCHEFER,TATAPOWER
2015-05-07,TATACOMM,BANKINDIA,HINDUNILVR,LT,TATAPOWER,RAMCOIND,DHANI,PFOCUS,ESCORTS,VENKEYS
2015-05-08,VEDL,BOSCHLTD,THERMAX,GAEL,TCI,COLPAL,HEROMOTOCO,DHANI,HINDUNILVR,CIPLA
2015-05-11,CIPLA,BOSCHLTD,IFBIND,VENKEYS,MAHSEAMLES,SUBROS,PCBL,LT,AARTIIND,NCLIND
2015-05-12,AARTIIND,DISHTV,IFBIND,VENKEYS,NMDC,CIPLA,PNBGILTS,MAHSEAMLES,MANGCHEFER,BANKINDIA
2015-05-13,TATACOMM,CIPLA,TRIDENT,GODREJCP,JKCEMENT,MANGCHEFER,MUKANDLTD,ORIENTPPR,RELIANCE,NMDC
2015-05-14,CIPLA,MANGCHEFER,ORIENTPPR,JKCEMENT,VENKEYS,BANKINDIA,RELIANCE,MAHSEAMLES,TRIDENT,GMRINFRA
2015-05-15,RELIANCE,MANGCHEFER,CIPLA,DISHTV,TRIDENT,ORIENTPPR,JKCEMENT,AARTIIND,VTL,LT
2015-05-18,RELIANCE,CIPLA,DISHTV,VENKEYS,LT,JKCEMENT,TRIDENT,PNBGILTS,SHREECEM,KALPATPOWR
2015-05-19,CIPLA,GMRINFRA,MANGCHEFER,TRIDENT,THOMASCOOK,JKCEMENT,DISHTV,LICHSGFIN,LT,AJANTPHARM
2015-05-20,GMRINFRA,LT,AARTIIND,JKCEMENT,MANGCHEFER,AJANTPHARM,SHREECEM,VTL,DIGISPICE,MOTILALOFS
2015-05-21,RELIANCE,MANGCHEFER,CIPLA,GMRINFRA,AARTIIND,HIMATSEIDE,DISHTV,AJANTPHARM,PATELENG,MHRIL
2015-05-22,RELIANCE,CIPLA,DISHTV,PATELENG,TATACOMM,DIGISPICE,VTL,MHRIL,SELMC,MANGCHEFER
2015-05-25,RELIANCE,TATACOMM,GMRINFRA,CIPLA,UBL,VTL,DISHTV,SHREECEM,MHRIL,DIGISPICE
2015-05-26,CIPLA,MANGCHEFER,CYIENT,HIKAL,NITINSPIN,IOC,KESORAMIND,DIGISPICE,SELMC,VTL
2015-05-27,CIPLA,NITINSPIN,DISHTV,HIKAL,CYIENT,AMARAJABAT,VTL,KESORAMIND,JKCEMENT,SHREECEM
2015-05-28,NITINSPIN,MTNL,CIPLA,PATELENG,DISHTV,AMARAJABAT,EVEREADY,MHRIL,VENKEYS,JKCEMENT
2015-05-29,JKCEMENT,INDIACEM,LT,LUPIN,GEOJITFSL,PATELENG,DIGISPICE,SHANTIGEAR,PNBGILTS,NRBBEARING
2015-06-01,INDIACEM,JKCEMENT,DISHTV,PATELENG,VENKEYS,DIGISPICE,IFBAGRO,EVEREADY,DEN,MHRIL
2015-06-02,HDFC,CIPLA,JKCEMENT,UBL,PATELENG,BANKINDIA,TATACOMM,TV18BRDCST,IFBAGRO,ASTRAL
2015-06-03,GRAPHITE,HDFC,CIPLA,ADANIENT,UBL,JKCEMENT,DWARKESH,TVSMOTOR,PATELENG,PFOCUS
2015-06-04,BASF,HDFC,PCBL,CIPLA,TATACOMM,GRAPHITE,PATELENG,VENKEYS,BIOCON,PFOCUS
2015-06-05,GRAPHITE,CIPLA,BASF,TATACOMM,DEN,BIOCON,PATELENG,IOB,SUBROS,NATCOPHARM
2015-06-08,ADANIENT,ASTRAL,TATACOMM,SHREECEM,BIOCON,DEN,CIPLA,NATCOPHARM,EVEREADY,MHRIL
2015-06-09,HDFC,CIPLA,BIOCON,EVEREADY,JAICORPLTD,CESC,PATELENG,ADANIENT,VENKEYS,DIGISPICE
2015-06-10,CIPLA,EVEREADY,ADANIENT,JAICORPLTD,BIOCON,VTL,SURYAROSNI,VENKEYS,M&M,DISHTV
2015-06-11,HDFC,JKCEMENT,CIPLA,VTL,MHRIL,ADANIENT,EVEREADY,VENKEYS,GHCL,GESHIP
2015-06-12,JKCEMENT,EVEREADY,CESC,VENKEYS,JAICORPLTD,DISHTV,IFBIND,HDFC,UBL,ASHOKLEY
2015-06-15,JKCEMENT,EVEREADY,CESC,GHCL,ASHOKLEY,IFBIND,CIPLA,VENKEYS,JAICORPLTD,DISHTV
2015-06-16,BIOCON,GHCL,JKCEMENT,MHRIL,UBL,JAICORPLTD,CESC,IFBIND,DISHTV,KEI
2015-06-17,JAICORPLTD,JKCEMENT,MHRIL,DISHTV,VTL,NAVINFLUOR,ASHOKLEY,GTLINFRA,GSPL,63MOONS
2015-06-18,JKCEMENT,NAVINFLUOR,DISHTV,MHRIL,JKLAKSHMI,SHRIRAMCIT,BIOCON,GTLINFRA,CESC,GHCL
2015-06-19,DISHTV,UBL,VTL,CIPLA,NAVINFLUOR,MHRIL,BIOCON,JKLAKSHMI,GESHIP,IFBIND
2015-06-22,DISHTV,VTL,CESC,PATELENG,BIOCON,JAICORPLTD,LICHSGFIN,SHREECEM,AUROPHARMA,GREAVESCOT
2015-06-23,BIOCON,DISHTV,CIPLA,CESC,GREAVESCOT,JKCEMENT,BANKINDIA,GESHIP,PATELENG,INDIAGLYCO
2015-06-24,DIGISPICE,CESC,LICHSGFIN,NAVINFLUOR,JKLAKSHMI,BANKINDIA,DISHTV,BALMLAWRIE,NFL,SHREECEM
2015-06-25,CESC,VENKEYS,UBL,GODREJCP,JKCEMENT,JKLAKSHMI,DISHTV,GREAVESCOT,AUROPHARMA,DEN
2015-06-26,CESC,JKCEMENT,GREAVESCOT,VENKEYS,M&M,GODREJCP,DISHTV,TORNTPOWER,TVSMOTOR,BANKBARODA
2015-06-29,CESC,JKCEMENT,DIGISPICE,JAICORPLTD,TVSMOTOR,PATELENG,DISHTV,DCW,BANKINDIA,ADANIENT
2015-06-30,CESC,TVSMOTOR,PATELENG,JKCEMENT,VTL,HCL-INSYS,AUROPHARMA,GTLINFRA,NHPC,DIGISPICE
2015-07-01,VTL,CESC,VENKEYS,JAICORPLTD,MHRIL,WELSPUNIND,GESHIP,JKCEMENT,VLSFINANCE,NHPC
2015-07-02,CESC,MHRIL,VTL,DIGISPICE,MOTHERSUMI,KEI,HIKAL,DISHTV,JAICORPLTD,EKC
2015-07-03,DIGISPICE,TTML,DISHTV,UBL,HTMEDIA,GREAVESCOT,MIRZAINT,DEN,HIKAL,JAICORPLTD
2015-07-06,JKCEMENT,JAICORPLTD,CESC,UBL,DIGISPICE,VTL,GESHIP,AKZOINDIA,NCC,AUROPHARMA
2015-07-07,MHRIL,BLUESTARCO,VLSFINANCE,AUROPHARMA,VTL,CESC,WELSPUNIND,GESHIP,DISHTV,DIGISPICE
2015-07-08,CESC,PFOCUS,JAICORPLTD,REDINGTON,JKCEMENT,DISHTV,AUROPHARMA,DIGISPICE,VTL,HTMEDIA
2015-07-09,DIGISPICE,REDINGTON,AUROPHARMA,MHRIL,GESHIP,TTML,TVSMOTOR,RAMCOCEM,HTMEDIA,PATELENG
2015-07-10,DIGISPICE,SEAMECLTD,MOTHERSUMI,LUPIN,MHRIL,VTL,TINPLATE,BLUESTARCO,CHOLAFIN,MASTEK
2015-07-13,MOTHERSUMI,VTL,BAJAJHLDNG,DIGISPICE,DISHTV,SEAMECLTD,MIRZAINT,BLUESTARCO,MHRIL,BERGEPAINT
2015-07-14,DIGISPICE,SUBROS,M&M,KALPATPOWR,SEAMECLTD,VTL,MANGCHEFER,DISHTV,MADRASFERT,BLUESTARCO
2015-07-15,SEAMECLTD,VTL,DISHTV,BERGEPAINT,M&M,SUNDRMFAST,NESCO,BANKBARODA,MANGCHEFER,GHCL
2015-07-16,VTL,M&M,GESHIP,DISHTV,KALPATPOWR,63MOONS,CESC,SUNDRMFAST,SBIN,TVSMOTOR
2015-07-17,DISHTV,BLUESTARCO,SEAMECLTD,VTL,SUBROS,TVSMOTOR,LICHSGFIN,DIGISPICE,VENKEYS,AMARAJABAT
2015-07-20,DISHTV,DIGISPICE,GESHIP,HTMEDIA,SBIN,APOLLOHOSP,EVEREADY,SUBROS,BLUESTARCO,VENKEYS
2015-07-21,GESHIP,MANGCHEFER,CHOLAFIN,SUBROS,VTL,HONAUT,JAICORPLTD,JSWENERGY,M&M,VENKEYS
2015-07-22,AUROPHARMA,BAJAJELEC,IPCALAB,DABUR,LICHSGFIN,JKCEMENT,63MOONS,JAICORPLTD,INDIAGLYCO,DIGISPICE
2015-07-23,DIGISPICE,SELMC,CESC,EVEREADY,63MOONS,MHRIL,JKCEMENT,TORNTPHARM,INDIAGLYCO,ADANIPORTS
2015-07-24,VISAKAIND,DIGISPICE,INDIAGLYCO,BAJAJELEC,63MOONS,TATACOMM,AMARAJABAT,JKCEMENT,NITINSPIN,MHRIL
2015-07-27,VISAKAIND,BAJAJELEC,JKCEMENT,INDIAGLYCO,DIGISPICE,VTL,INGERRAND,NMDC,EVEREADY,AMARAJABAT
2015-07-28,INGERRAND,JKCEMENT,JYOTHYLAB,BGRENERGY,BHEL,PEL,AJANTPHARM,RALLIS,GTLINFRA,AUROPHARMA
2015-07-29,SAREGAMA,JKCEMENT,PEL,VTL,NESCO,EVEREADY,BGRENERGY,AJANTPHARM,AUROPHARMA,FDC
2015-07-30,AMARAJABAT,VTL,JKCEMENT,BANKINDIA,AUROPHARMA,ACC,DIGISPICE,AJANTPHARM,MHRIL,BGRENERGY
2015-07-31,AMRUTANJAN,HONAUT,VTL,AJANTPHARM,EVEREADY,BANKINDIA,DIGISPICE,HUHTAMAKI,DISHTV,DABUR
2015-08-03,HSCL,LICHSGFIN,VTL,DIGISPICE,TATACOMM,FDC,DISHTV,AMARAJABAT,BANKINDIA,MHRIL
2015-08-04,DIGISPICE,SEAMECLTD,IFBAGRO,AMARAJABAT,BANKINDIA,TVSMOTOR,TATACOMM,NITINSPIN,EVEREADY,HONAUT
2015-08-05,EVEREADY,KPRMILL,AJANTPHARM,INDIAGLYCO,TATACOMM,BALAJITELE,NCC,BANKINDIA,SEAMECLTD,THOMASCOOK
2015-08-06,AJANTPHARM,EVEREADY,TATACOMM,DISHTV,THOMASCOOK,INDIAGLYCO,UCOBANK,KPRMILL,REDINGTON,TVSMOTOR
2015-08-07,EVEREADY,HONAUT,AJANTPHARM,VTL,TATACOMM,PATELENG,DISHTV,M&M,TVSMOTOR,DABUR
2015-08-10,AJANTPHARM,MHRIL,TATACOMM,DISHTV,EVEREADY,AUROPHARMA,VTL,KALPATPOWR,REDINGTON,MOTHERSUMI
2015-08-11,DISHTV,VTL,PTC,MHRIL,TATACOMM,SOUTHBANK,PATELENG,REDINGTON,NFL,AMARAJABAT
2015-08-12,VTL,AMARAJABAT,MHRIL,NFL,PATELENG,ACC,MOTILALOFS,HCL-INSYS,CESC,SOUTHBANK
2015-08-13,WELCORP,JPPOWER,JMFINANCIL,ZEEMEDIA,NFL,JINDRILL,PTC,CESC,TATACOMM,CENTURYPLY
2015-08-14,GAEL,ELECON,TIMKEN,SANGAMIND,ZEEMEDIA,BOMDYEING,DAAWAT,SUPREMEIND,JMFINANCIL,ITI
2015-08-17,SAREGAMA,SHILPAMED,MHRIL,ARSHIYA,SOTL,JKCEMENT,DISHTV,DAAWAT,VTL,EPL
2015-08-18,SHILPAMED,SAREGAMA,DAAWAT,JKCEMENT,MOTHERSUMI,DISHTV,IFBAGRO,PATELENG,MHRIL,SOTL
2015-08-19,SAREGAMA,JKCEMENT,SOTL,SHRIRAMCIT,MHRIL,CGPOWER,DISHTV,MOTHERSUMI,AJANTPHARM,DAAWAT
2015-08-20,DISHTV,MHRIL,MOTHERSUMI,SHRIRAMCIT,GESHIP,EPL,VTL,SOTL,AJANTPHARM,HINDALCO
2015-08-21,ANANTRAJ,MOTHERSUMI,DVL,MHRIL,VTL,SOUTHBANK,AJANTPHARM,AIAENG,GSPL,SUPRAJIT
2015-08-24,DVL,ANANTRAJ,MOTHERSUMI,CLNINDIA,AIAENG,GODREJIND,REDINGTON,AUROPHARMA,HINDOILEXP,GSPL
2015-08-25,CEATLTD,GMDCLTD,INDOCO,TATAINVEST,ANANTRAJ,BOMDYEING,SCI,WIPRO,MOREPENLAB,MOTHERSUMI
2015-08-26,UBL,INDOCO,THERMAX,VOLTAMP,TATAINVEST,DVL,MOTHERSUMI,NUCLEUS,BANCOINDIA,SUNDRMFAST
2015-08-27,VOLTAMP,RADICO,ANANTRAJ,WELCORP,SUPRAJIT,UBL,TORNTPHARM,SHILPAMED,BRIGADE,BLKASHYAP
2015-08-28,TATAELXSI,DCBBANK,DISHTV,IRB,GOKEX,MOTHERSUMI,AKZOINDIA,VOLTAMP,MFSL,MADRASFERT
