2014-05-16,GAIL,GTLINFRA,SUZLON,SHRIRAMCIT,HINDOILEXP,FORTIS,APOLLOHOSP,SAREGAMA,TCS,LICHSGFIN
2014-05-19,GTLINFRA,TCS,LICHSGFIN,SPIC,IGL,GAIL,SHREECEM,ADANIPORTS,ZYDUSWELL,IDFC
2014-05-20,GTLINFRA,SUZLON,TCS,FORTIS,KOLTEPATIL,BIOCON,CESC,ACE,TIDEWATER,UBL
2014-05-21,FORTIS,TCS,SUZLON,TIDEWATER,BIOCON,GTLINFRA,HTMEDIA,CESC,SHANTIGEAR,DIGISPICE
2014-05-22,FORTIS,TCS,SHANTIGEAR,HTMEDIA,RAMCOIND,HONAUT,GSFC,ACE,JKCEMENT,SUZLON
2014-05-23,HONAUT,HTMEDIA,SUPRAJIT,JKCEMENT,RAMCOIND,LUPIN,AKZOINDIA,CESC,TAJGVK,PATELENG
2014-05-26,FORTIS,HONAUT,CESC,UNICHEMLAB,SELMC,DIGISPICE,FIEMIND,AUROPHARMA,PATELENG,BIOCON
2014-05-27,FORTIS,CESC,HONAUT,BIOCON,SHREECEM,PATELENG,BALMLAWRIE,GODREJCP,BLUESTARCO,TINPLATE
2014-05-28,FORTIS,BIOCON,UNICHEMLAB,VTL,BLUESTARCO,AKZOINDIA,SHREECEM,JAICORPLTD,BIRLACORPN,LICHSGFIN
2014-05-29,BIOCON,GTLINFRA,BLUESTARCO,MOREPENLAB,FACT,AKZOINDIA,FORTIS,LICHSGFIN,CANBK,REDINGTON
2014-05-30,FORTIS,BAJAJHIND,MANGCHEFER,SUPRAJIT,CANBK,TIDEWATER,BAJAJELEC,TINPLATE,PATELENG,KAMDHENU
2014-06-02,FORTIS,TINPLATE,FACT,BAJAJHIND,TIDEWATER,USHAMART,HUHTAMAKI,BAJAJELEC,DLF,BIOCON
2014-06-03,SUPRAJIT,TINPLATE,BIOCON,BAJAJELEC,MOREPENLAB,FORTIS,HUHTAMAKI,ALOKINDS,ZYDUSWELL,INOXLEISUR
2014-06-04,BAJAJHIND,TINPLATE,SUPRAJIT,DISHTV,GHCL,NFL,ADANIPORTS,HEG,BIOCON,TIDEWATER
2014-06-05,BAJAJHIND,TINPLATE,AUROPHARMA,FORTIS,NFL,HINDALCO,DISHTV,RPOWER,HEG,MANGCHEFER
2014-06-06,BAJAJHIND,NFL,FORTIS,BLUESTARCO,RPOWER,AUROPHARMA,FIEMIND,APOLLOHOSP,DEN,JSWHL
2014-06-09,AUROPHARMA,NFL,INFY,FORTIS,RPOWER,JSWHL,FIEMIND,GTLINFRA,BLUESTARCO,JKCEMENT
2014-06-10,RPOWER,BLUESTARCO,JSWHL,BAJAJHLDNG,JKCEMENT,AUROPHARMA,SUNDRMFAST,VTL,CESC,3IINFOLTD
2014-06-11,JKCEMENT,DIGISPICE,FORTIS,NFL,SELMC,SUNDRMFAST,VENKEYS,HONAUT,JSWHL,HIMATSEIDE
2014-06-12,CESC,UNICHEMLAB,HIKAL,VTL,SUNDRMFAST,DIGISPICE,HONAUT,MAHSEAMLES,AUROPHARMA,IPCALAB
2014-06-13,UNICHEMLAB,CESC,SHREECEM,HIKAL,INOXLEISUR,TINPLATE,EIHOTEL,BAJAJHIND,63MOONS,IPCALAB
2014-06-16,CESC,DIGISPICE,UNICHEMLAB,HIKAL,SHREECEM,IPCALAB,RAMCOCEM,NHPC,KOKUYOCMLN,ASHOKLEY
2014-06-17,FORTIS,SHREECEM,THERMAX,KOKUYOCMLN,ASIANPAINT,ACE,HUHTAMAKI,RAMCOCEM,FIEMIND,ACC
2014-06-18,SHREECEM,FIEMIND,ACE,IPCALAB,UNICHEMLAB,TIMKEN,THERMAX,KOKUYOCMLN,FORTIS,ZYDUSWELL
2014-06-19,SHREECEM,TIMKEN,KOKUYOCMLN,ZYDUSWELL,SANGHVIMOV,NHPC,RAMCOIND,KPRMILL,UNICHEMLAB,HINDOILEXP
2014-06-20,RAMCOIND,FIEMIND,MOREPENLAB,CESC,NHPC,RAMCOCEM,TV18BRDCST,TINPLATE,SHREECEM,TCI
2014-06-23,FIEMIND,NHPC,JINDALSTEL,DIGISPICE,DCW,RAMCOIND,MARUTI,ZYDUSWELL,HEG,GTLINFRA
2014-06-24,GTLINFRA,KOKUYOCMLN,SHREECEM,KPRMILL,DCW,NHPC,RAMCOIND,FIEMIND,HEG,DABUR
2014-06-25,GTLINFRA,KOKUYOCMLN,SHREECEM,NHPC,MOREPENLAB,TIDEWATER,RAMCOIND,MANGCHEFER,HEG,GIPCL
2014-06-26,GTLINFRA,KOKUYOCMLN,KPRMILL,NHPC,SHREECEM,RAMCOIND,FIEMIND,YESBANK,MOREPENLAB,TINPLATE
2014-06-27,RAMCOIND,KOKUYOCMLN,GICHSGFIN,ADANIPORTS,TCS,HSCL,PHOENIXLTD,PATELENG,BRITANNIA,NHPC
2014-06-30,VEDL,ACE,CIPLA,CHAMBLFERT,TRIDENT,WELSPUNIND,RPOWER,LT,DCW,HSCL
2014-07-01,GIPCL,RAMCOIND,HSCL,DCW,CHAMBLFERT,NAVINFLUOR,LT,SANOFI,BRITANNIA,ADANIENT
2014-07-02,KOKUYOCMLN,CHAMBLFERT,DCW,BIOCON,ACE,AMARAJABAT,INGERRAND,REDINGTON,LT,JKCEMENT
2014-07-03,BIOCON,KOKUYOCMLN,ACE,SHREECEM,DCW,JKCEMENT,LT,BAJAJELEC,ACC,TRIDENT
2014-07-04,SHREECEM,NAVINFLUOR,ACE,MOTILALOFS,OMAXE,RALLIS,JKCEMENT,HEG,PATELENG,TRIDENT
2014-07-07,MOTILALOFS,SHREECEM,RALLIS,PATELENG,TV18BRDCST,MAHSEAMLES,NAVINFLUOR,JKCEMENT,HINDALCO,TRIDENT
2014-07-08,SHREECEM,DABUR,TV18BRDCST,ACE,ACC,JKCEMENT,HINDALCO,OMAXE,IRB,DWARKESH
2014-07-09,TV18BRDCST,AKZOINDIA,HINDALCO,ACE,ZYDUSWELL,REDINGTON,LUPIN,DELTACORP,TCI,NAVINFLUOR
2014-07-10,HINDALCO,REDINGTON,NAVINFLUOR,SHREECEM,TV18BRDCST,LUPIN,NHPC,KPRMILL,CIPLA,VGUARD
2014-07-11,NAVINFLUOR,TV18BRDCST,ZYDUSWELL,SHREECEM,NHPC,BERGEPAINT,REDINGTON,AKZOINDIA,PRSMJOHNSN,IOC
2014-07-14,ENGINERSIN,KOKUYOCMLN,BERGEPAINT,REDINGTON,FINCABLES,NATIONALUM,LUPIN,NHPC,FORTIS,HINDUNILVR
2014-07-15,NHPC,WIPRO,FORTIS,RAMCOIND,EKC,JINDALSTEL,SOUTHBANK,INGERRAND,HEG,CIPLA
2014-07-16,RAMCOIND,FORTIS,NAVINFLUOR,EKC,SOUTHBANK,KTKBANK,INGERRAND,CIPLA,DEN,KOKUYOCMLN
2014-07-17,KTKBANK,INGERRAND,FINCABLES,NDTV,RAMCOIND,INDIACEM,HIMATSEIDE,RSWM,BAJAJFINSV,BATAINDIA
2014-07-18,FINCABLES,RAMCOIND,CIPLA,HIKAL,ANANTRAJ,NDTV,NHPC,GTLINFRA,CHOLAFIN,MOTILALOFS
2014-07-21,FINCABLES,SHRIRAMCIT,NHPC,LT,TORNTPHARM,ANANTRAJ,AKZOINDIA,HIKAL,RAMCOIND,VGUARD
2014-07-22,ANANTRAJ,FINCABLES,HINDUNILVR,AKZOINDIA,NHPC,INDIACEM,LT,NDTV,CHOLAFIN,3IINFOLTD
2014-07-23,ANANTRAJ,INGERRAND,ADANIENT,KOKUYOCMLN,LT,3IINFOLTD,DCW,EPL,NDTV,PRAJIND
2014-07-24,AKZOINDIA,LUPIN,WIPRO,VENKEYS,KTKBANK,IPCALAB,KOKUYOCMLN,DCW,ACC,EKC
2014-07-25,WIPRO,KOKUYOCMLN,AKZOINDIA,PRAJIND,VENKEYS,HIMATSEIDE,KOPRAN,HIKAL,LUPIN,SOUTHBANK
2014-07-28,WIPRO,AKZOINDIA,TEXINFRA,HIKAL,LT,IFBAGRO,ADANIENT,FIEMIND,VENKEYS,FINPIPE
2014-07-30,FINPIPE,AKZOINDIA,ADANIENT,NMDC,VENKEYS,SHREECEM,TEXINFRA,KTKBANK,IFBAGRO,RALLIS
2014-07-31,ADANIENT,KTKBANK,AKZOINDIA,NMDC,HIKAL,FINPIPE,EPL,SHREECEM,GIPCL,RALLIS
2014-08-01,KTKBANK,ANANTRAJ,NMDC,SHREECEM,ADANIENT,TIDEWATER,FORTIS,UNICHEMLAB,HINDUNILVR,VENKEYS
2014-08-04,NMDC,VENKEYS,PHOENIXLTD,RALLIS,FORTIS,GMRINFRA,HINDUNILVR,UNICHEMLAB,JSWSTEEL,IGL
2014-08-05,ADANIENT,SHREECEM,ANANTRAJ,RALLIS,MOREPENLAB,HINDUNILVR,FORTIS,TIDEWATER,DALMIASUG,IGL
2014-08-06,ANANTRAJ,IGL,CIPLA,HINDALCO,EMAMILTD,TEXINFRA,FORTIS,VENKEYS,SHREECEM,HINDUNILVR
2014-08-07,GILLETTE,SHREECEM,CIPLA,FIEMIND,EMAMILTD,ICICIBANK,TVSMOTOR,HINDUNILVR,VENKEYS,PFIZER
2014-08-08,SHREECEM,FIEMIND,ANANTRAJ,IPCALAB,J&KBANK,ASHOKLEY,JKCEMENT,TINPLATE,FORTIS,RALLIS
2014-08-11,ANANTRAJ,FORTIS,RALLIS,GREENPLY,JINDRILL,HIMATSEIDE,HIKAL,NHPC,MHRIL,TINPLATE
2014-08-12,ANANTRAJ,FORTIS,DCW,NRBBEARING,BAJAJELEC,SHREECEM,KALPATPOWR,GSPL,PNB,STLTECH
2014-08-13,FORTIS,ASHOKLEY,STLTECH,SHREECEM,UFLEX,POONAWALLA,PNB,NRBBEARING,REDINGTON,CONCOR
2014-08-14,INGERRAND,BAJAJELEC,BHEL,PNB,MHRIL,GREENPLY,KOPRAN,SRF,PFOCUS,SUNDRMFAST
2014-08-18,PNB,SHREECEM,EKC,MHRIL,GREENPLY,DCW,FORTIS,KOPRAN,AMARAJABAT,SRF
2014-08-19,GREENPLY,FORTIS,SHREECEM,POONAWALLA,PNB,JAICORPLTD,MHRIL,ORIENTPPR,JKPAPER,DCW
2014-08-20,PNB,JAICORPLTD,VENKEYS,SHREECEM,FORTIS,REDINGTON,EKC,SHANTIGEAR,LT,IFBAGRO
2014-08-21,FORTIS,SHREECEM,JAICORPLTD,PNB,VENKEYS,SHANTIGEAR,IFBAGRO,SURYAROSNI,BIRLACORPN,NAHARSPING
2014-08-22,SHREECEM,FORTIS,MHRIL,JKPAPER,VENKEYS,JAICORPLTD,PNB,TINPLATE,IFBAGRO,FIEMIND
2014-08-25,FORTIS,MHRIL,NAHARSPING,IDBI,HINDUNILVR,JKPAPER,GREAVESCOT,IFBAGRO,ADORWELD,VENKEYS
2014-08-26,KCP,VENKEYS,FORTIS,IFBAGRO,IFBIND,BERGEPAINT,AJANTPHARM,CRISIL,ASTRAL,LICHSGFIN
2014-08-27,VENKEYS,FORTIS,KCP,CGPOWER,BIRLACORPN,AMARAJABAT,CIPLA,TINPLATE,HIKAL,AARTIDRUGS
2014-08-28,FORTIS,KCP,TINPLATE,BIRLACORPN,VLSFINANCE,M&M,GOKEX,KOPRAN,NCLIND,LICHSGFIN
2014-09-01,KCP,BAJAJELEC,HIKAL,MHRIL,FORTIS,TINPLATE,SHANTIGEAR,KOPRAN,MAHABANK,NCLIND
2014-09-02,FORTIS,KCP,CRISIL,NCLIND,CESC,MAHABANK,AARTIIND,M&M,ORIENTPPR,SUZLON
2014-09-03,KCP,NCLIND,FORTIS,CRISIL,HIKAL,AARTIIND,POONAWALLA,VENKEYS,BIRLACORPN,JSWENERGY
2014-09-04,HIKAL,FORTIS,NCLIND,J&KBANK,TATACOMM,CRISIL,PNB,ORIENTPPR,EPL,NHPC
