2018-10-30,TECHM,POWERGRID
2018-10-31,DRREDDY,POWERGRID
2018-11-01,INFY,NESTLEIND
2018-11-02,TATASTEEL,INDUSINDBK
2018-11-05,ICICIBANK,NESTLEIND
2018-11-06,NTPC,DIVISLAB
2018-11-07,NTPC,WIPRO
2018-11-09,BAJAJFINSV,INFY
2018-11-12,WIPRO,NESTLEIND
2018-11-13,ICICIBANK,M&M
2018-11-14,HCLTECH,WIPRO
2018-11-15,WIPRO,HINDUNILVR
2018-11-16,WIPRO,NESTLEIND
2018-11-19,WIPRO,ITC
2018-11-20,JSWSTEEL,ICICIBANK
2018-11-21,AXISBANK,ICICIBANK
2018-11-22,LT,HDFC
2018-11-26,HDFC,TITAN
2018-11-27,ULTRACEMCO,KOTAKBANK
2018-11-28,ULTRACEMCO,TITAN
2018-11-29,SBIN,APOLLOHOSP
2018-11-30,NTPC,TECHM
2018-12-03,DIVISLAB,EICHERMOT
2018-12-04,LT,ASIANPAINT
2018-12-05,LT,JSWSTEEL
2018-12-06,HINDALCO,TITAN
2018-12-07,HCLTECH,HDFCBANK
2018-12-10,HEROMOTOCO,TATASTEEL
2018-12-11,HEROMOTOCO,TATASTEEL
2018-12-12,DRREDDY,BAJAJ-AUTO
2018-12-13,POWERGRID,TITAN
2018-12-14,POWERGRID,HCLTECH
2018-12-17,LT,TITAN
2018-12-18,INDUSINDBK,WIPRO
2018-12-19,TATASTEEL,WIPRO
2018-12-20,HEROMOTOCO,RELIANCE
2018-12-21,TITAN,HCLTECH
2018-12-24,HCLTECH,UPL
2018-12-26,SBIN,ADANIPORTS
2018-12-27,NTPC,POWERGRID
2018-12-28,WIPRO,CIPLA
2018-12-31,KOTAKBANK,POWERGRID
