2016-06-23,NESTLEIND,EICHERMOT,TATASTEEL,RELIANCE,SHREECEM,HDFC
2016-06-24,ULTRACEMCO,WIPRO,TCS,ONGC,BPCL,BAJAJ-AUTO
2016-06-27,SBIN,TATAMOTORS,ULTRACEMCO,POWERGRID,APOLLOHOSP,HINDUNILVR
2016-06-28,SBIN,TATAMOTORS,WIPRO,EICHERMOT,ICICIBANK,HDFCBANK
2016-06-29,NTPC,TITAN,NESTLEIND,ASIANPAINT,HEROMOTOCO,WIPRO
2016-06-30,NTPC,APOLLOHOSP,SBIN,HINDALCO,HEROMOTOCO,TATAMOTORS
2016-07-01,INFY,NESTLEIND,APOLLOHOSP,BRITANNIA,NTPC,BPCL
2016-07-04,NESTLEIND,INDUSINDBK,GRASIM,TECHM,JSWSTEEL,RELIANCE
2016-07-05,TITAN,DIVISLAB,ITC,AXISBANK,TATASTEEL,BAJAJ-AUTO
2016-07-07,APOLLOHOSP,JSWSTEEL,INDUSINDBK,TCS,TECHM,BAJAJFINSV
2016-07-08,ONGC,BPCL,BRITANNIA,TECHM,WIPRO,ICICIBANK
2016-07-11,TATASTEEL,DRREDDY,BRITANNIA,HCLTECH,NTPC,TECHM
2016-07-12,HINDALCO,WIPRO,EICHERMOT,APOLLOHOSP,DRREDDY,ONGC
2016-07-13,MARUTI,CIPLA,EICHERMOT,TCS,ITC,HDFC
2016-07-14,WIPRO,M&M,SUNPHARMA,BAJAJ-AUTO,NESTLEIND,EICHERMOT
2016-07-15,HDFCBANK,AXISBANK,BRITANNIA,BPCL,TATACONSUM,WIPRO
2016-07-18,ONGC,TATASTEEL,APOLLOHOSP,DRREDDY,INDUSINDBK,TECHM
2016-07-19,HDFC,WIPRO,TATASTEEL,DRREDDY,BPCL,ONGC
2016-07-20,TECHM,TITAN,TATASTEEL,AXISBANK,ICICIBANK,MARUTI
2016-07-21,EICHERMOT,INDUSINDBK,M&M,TATASTEEL,TECHM,WIPRO
2016-07-22,INDUSINDBK,ICICIBANK,TATASTEEL,ITC,WIPRO,JSWSTEEL
