2014-04-17,MOTILALOFS,FDC,UCOBANK,INDORAMA,MANGCHEFER,CARBORUNIV,CUMMINSIND,UFLEX,ORIENTPPR
2014-04-21,STLTECH,NXTDIGITAL,FSL,CARBORUNIV,HGS,NATIONALUM,MAHLIFE,SARDAEN,HINDPETRO
2014-04-22,TNPL,TATAELXSI,HGS,SRTRANSFIN,GICHSGFIN,IDBI,TATAMOTORS,RALLIS,CUMMINSIND
2014-04-23,CARBORUNIV,BOMDYEING,NOCIL,BRITANNIA,ITI,SAREGAMA,BLKASHYAP,HCLTECH,SURYAROSNI
2014-04-25,SCHAEFFLER,GIPCL,RCF,ZEEL,ANANTRAJ,M&MFIN,COFORGE,EMAMILTD,HINDPETRO
2014-04-28,ADORWELD,BOSCHLTD,RAYMOND,IDFC,SUVEN,VAIBHAVGBL,RIIL,TATAMOTORS,SUBEXLTD
2014-04-29,TATAMOTORS,HINDPETRO,TRENT,NATIONALUM,TATAELXSI,IDBI,TNPL,ONMOBILE,VAIBHAVGBL
2014-04-30,KARURVYSYA,HINDPETRO,RIIL,NETWORK18,GTLINFRA,SCHAEFFLER,TATAMOTORS,SHANTIGEAR,ITC
2014-05-02,ASAHIINDIA,BALRAMCHIN,JINDALPOLY,INDORAMA,MHRIL,CIPLA,MUKANDLTD,VAIBHAVGBL,IDBI
2014-05-05,BALMLAWRIE,COLPAL,MARUTI,GILLETTE,GEOJITFSL,HCC,BRITANNIA,TVTODAY,SCHAEFFLER
2014-05-06,TATACOMM,ITI,SAREGAMA,NAUKRI,IDBI,PHOENIXLTD,GHCL,CEATLTD,ACE
2014-05-07,GRAPHITE,NRBBEARING,ITI,BAJAJHIND,FACT,GSPL,NAUKRI,BRITANNIA,CEATLTD
2014-05-08,GABRIEL,CYIENT,NAUKRI,ADSL,SRF,LAOPALA,RAYMOND,VAIBHAVGBL,BRITANNIA
2014-05-09,ASHAPURMIN,RAJESHEXPO,PURVA,GSFC,TIMKEN,HINDPETRO,NAUKRI,RENUKA,TEXINFRA
2014-05-12,SUNDRMFAST,ASAHIINDIA,ADSL,TEXINFRA,MOREPENLAB,UCOBANK,TIMKEN,ZEEL,GPIL
2014-05-13,BRITANNIA,CLNINDIA,ZEEL,POONAWALLA,HTMEDIA,NAUKRI,SWARAJENG,TCI,CEATLTD
2014-05-14,RTNPOWER,JAICORPLTD,NBVENTURES,FSL,BANCOINDIA,CONCOR,GABRIEL,MAHLIFE,RAJESHEXPO
2014-05-15,DEN,DCMSHRIRAM,SANGHVIMOV,HCLTECH,JSWSTEEL,CEATLTD,MUKANDLTD,LAOPALA,INDOCO
2014-05-16,ASHAPURMIN,ZENSARTECH,TNPL,CCL,MARKSANS,JBCHEPHARM,HLVLTD,GLOBUSSPR,TVTODAY
2014-05-19,CUB,ONGC,ZEEL,GRAPHITE,GTLINFRA,IDFC,CEATLTD,TNPL,LT
2014-05-20,ADANIPOWER,SANGHVIMOV,MFSL,VAIBHAVGBL,HINDOILEXP,ADSL,LAOPALA,IRB,HIL
2014-05-21,VAIBHAVGBL,GICHSGFIN,GILLETTE,MARKSANS,ADANIPOWER,ISMTLTD,ZFCVINDIA,TIDEWATER,MUKANDLTD
