2013-07-17,ADANIPORTS,APOLLOHOSP,HEROMOTOCO
2013-07-18,BAJAJFINSV,POWERGRID,NTPC
2013-07-19,BAJAJ-AUTO,NTPC,APOLLOHOSP
2013-07-22,APOLLOHOSP,NTPC,EICHERMOT
2013-07-23,SBIN,TITAN,ASIANPAINT
2013-07-24,ITC,HEROMOTOCO,ADANIPORTS
2013-07-25,SUNPHARMA,ULTRACEMCO,RELIANCE
2013-07-26,HDFC,SBIN,NTPC
2013-07-29,INFY,M&M,TITAN
2013-07-30,HDFC,INFY,BAJAJFINSV
2013-07-31,DRREDDY,EICHERMOT,ULTRACEMCO
2013-08-01,BAJAJFINSV,HDFC,SBIN
2013-08-02,POWERGRID,EICHERMOT,BAJAJFINSV
2013-08-05,INFY,BAJAJFINSV,ONGC
2013-08-06,EICHERMOT,ASIANPAINT,ITC
2013-08-07,EICHERMOT,TATACONSUM,INDUSINDBK
2013-08-08,SUNPHARMA,INDUSINDBK,TATASTEEL
2013-08-12,TATASTEEL,SBIN,TATAMOTORS
2013-08-13,MARUTI,ONGC,NESTLEIND
2013-08-14,TITAN,DRREDDY,BAJFINANCE
2013-08-16,TITAN,INDUSINDBK,KOTAKBANK
2013-08-19,TATACONSUM,TECHM,ADANIPORTS
2013-08-20,DRREDDY,EICHERMOT,TCS
2013-08-21,EICHERMOT,HCLTECH,INDUSINDBK
2013-08-22,BRITANNIA,EICHERMOT,M&M
2013-08-23,SBIN,NTPC,INDUSINDBK
2013-08-26,ICICIBANK,HCLTECH,SHREECEM
2013-08-27,HEROMOTOCO,KOTAKBANK,HCLTECH
2013-08-28,TECHM,DRREDDY,NTPC
2013-08-29,INDUSINDBK,TATASTEEL,TECHM
2013-08-30,GRASIM,NTPC,SBIN
2013-09-02,INDUSINDBK,TATACONSUM,HINDALCO
2013-09-03,HINDALCO,INDUSINDBK,GRASIM
2013-09-04,HDFC,EICHERMOT,SUNPHARMA
2013-09-05,INDUSINDBK,NTPC,AXISBANK
2013-09-06,BRITANNIA,DRREDDY,BHARTIARTL
2013-09-10,HCLTECH,EICHERMOT,SBIN
2013-09-11,EICHERMOT,TECHM,GRASIM
2013-09-12,INDUSINDBK,WIPRO,HINDALCO
2013-09-13,RELIANCE,POWERGRID,HINDUNILVR
2013-09-16,TATASTEEL,NTPC,TECHM
2013-09-17,NTPC,APOLLOHOSP,TCS
2013-09-18,HDFC,NTPC,TATASTEEL
2013-09-19,TATASTEEL,INDUSINDBK,WIPRO
2013-09-20,TATASTEEL,INDUSINDBK,WIPRO
2013-09-23,BRITANNIA,DRREDDY,POWERGRID
2013-09-24,SUNPHARMA,CIPLA,RELIANCE
2013-09-25,DRREDDY,NTPC,ADANIPORTS
2013-09-26,INFY,WIPRO,EICHERMOT
2013-09-27,HINDALCO,BRITANNIA,TATACONSUM
2013-09-30,BAJAJ-AUTO,BPCL,CIPLA
2013-10-01,DRREDDY,CIPLA,HINDUNILVR
2013-10-03,BHARTIARTL,APOLLOHOSP,BPCL
2013-10-04,BPCL,ADANIPORTS,INDUSINDBK
2013-10-07,BPCL,HINDALCO,HDFCBANK
2013-10-08,GRASIM,TATASTEEL,ADANIPORTS
2013-10-09,WIPRO,DRREDDY,ADANIPORTS
2013-10-10,HINDUNILVR,BPCL,INFY
2013-10-11,ADANIPORTS,SBIN,EICHERMOT
2013-10-14,BRITANNIA,ONGC,SHREECEM
2013-10-15,HINDUNILVR,BAJAJ-AUTO,INFY
2013-10-17,DRREDDY,BAJFINANCE,HINDUNILVR
2013-10-18,EICHERMOT,SBIN,HINDUNILVR
2013-10-21,UPL,EICHERMOT,NTPC
2013-10-22,DRREDDY,SUNPHARMA,EICHERMOT
2013-10-23,ULTRACEMCO,NTPC,EICHERMOT
2013-10-24,TATASTEEL,BAJAJFINSV,INDUSINDBK
2013-10-25,NTPC,EICHERMOT,TECHM
2013-10-28,INDUSINDBK,HCLTECH,INFY
2013-10-29,EICHERMOT,BRITANNIA,SBIN
2013-10-30,INDUSINDBK,SBIN,NTPC
2013-10-31,INDUSINDBK,APOLLOHOSP,HEROMOTOCO
2013-11-01,INDUSINDBK,NTPC,JSWSTEEL
2013-11-05,EICHERMOT,NTPC,HDFC
2013-11-06,EICHERMOT,JSWSTEEL,NESTLEIND
2013-11-07,NTPC,JSWSTEEL,APOLLOHOSP
2013-11-08,SUNPHARMA,JSWSTEEL,KOTAKBANK
2013-11-11,TATACONSUM,HINDALCO,JSWSTEEL
2013-11-12,SBIN,JSWSTEEL,NESTLEIND
2013-11-13,ULTRACEMCO,ASIANPAINT,INDUSINDBK
2013-11-14,HCLTECH,ADANIPORTS,DRREDDY
2013-11-18,TCS,HCLTECH,BRITANNIA
2013-11-19,POWERGRID,HINDALCO,APOLLOHOSP
2013-11-20,ULTRACEMCO,INDUSINDBK,DRREDDY
2013-11-21,KOTAKBANK,NTPC,INDUSINDBK
2013-11-22,NTPC,UPL,ULTRACEMCO
2013-11-25,TECHM,SBIN,BAJAJFINSV
2013-11-26,ULTRACEMCO,BAJAJFINSV,JSWSTEEL
2013-11-27,ULTRACEMCO,JSWSTEEL,WIPRO
2013-11-28,KOTAKBANK,TITAN,TCS
2013-11-29,BAJAJFINSV,SUNPHARMA,TECHM
2013-12-02,POWERGRID,JSWSTEEL,MARUTI
2013-12-03,INDUSINDBK,M&M,ULTRACEMCO
2013-12-04,SBIN,BAJFINANCE,DRREDDY
2013-12-05,NTPC,INDUSINDBK,HDFC
2013-12-06,HINDUNILVR,WIPRO,INDUSINDBK
2013-12-09,NTPC,EICHERMOT,HCLTECH
2013-12-10,NESTLEIND,TITAN,TATAMOTORS
2013-12-11,TATACONSUM,HEROMOTOCO,MARUTI
2013-12-12,SUNPHARMA,KOTAKBANK,DIVISLAB
2013-12-13,BAJAJFINSV,KOTAKBANK,INDUSINDBK
2013-12-16,BRITANNIA,BAJAJFINSV,SBIN
2013-12-17,HEROMOTOCO,BAJAJFINSV,NESTLEIND
2013-12-18,POWERGRID,BAJAJFINSV,ICICIBANK
2013-12-19,POWERGRID,BAJAJFINSV,BAJFINANCE
2013-12-20,BAJAJFINSV,POWERGRID,HINDUNILVR
2013-12-23,INDUSINDBK,SUNPHARMA,POWERGRID
2013-12-24,BRITANNIA,MARUTI,POWERGRID
2013-12-26,HINDUNILVR,ULTRACEMCO,RELIANCE
2013-12-27,BAJAJFINSV,BRITANNIA,HEROMOTOCO
2013-12-30,POWERGRID,INFY,LT
2013-12-31,BAJAJFINSV,ASIANPAINT,SHREECEM
