2013-07-09,SUNPHARMA,BPCL,HCLTECH,HDFC,TITAN
2013-07-10,TATASTEEL,APOLLOHOSP,INFY,HCLTECH,BAJAJ-AUTO
2013-07-11,BHARTIARTL,INDUSINDBK,ASIANPAINT,BAJFINANCE,MARUTI
2013-07-12,DRREDDY,ITC,WIPRO,APOLLOHOSP,GRASIM
2013-07-15,BAJFINANCE,POWERGRID,DIVISLAB,INFY,CIPLA
2013-07-16,UPL,BAJFINANCE,INFY,HDFCBANK,CIPLA
2013-07-17,HEROMOTOCO,HINDALCO,SUNPHARMA,ASIANPAINT,APOLLOHOSP
2013-07-18,DRREDDY,POWERGRID,ITC,NTPC,TECHM
2013-07-19,HINDUNILVR,BAJAJ-AUTO,POWERGRID,SUNPHARMA,LT
2013-07-22,ICICIBANK,APOLLOHOSP,TATACONSUM,NTPC,BHARTIARTL
2013-07-23,INFY,TATAMOTORS,CIPLA,BRITANNIA,MARUTI
2013-07-24,JSWSTEEL,DRREDDY,BRITANNIA,HINDUNILVR,RELIANCE
2013-07-25,TATACONSUM,HCLTECH,EICHERMOT,CIPLA,LT
2013-07-26,ITC,TATAMOTORS,JSWSTEEL,HCLTECH,M&M
2013-07-29,TATAMOTORS,ITC,TITAN,ASIANPAINT,HDFC
2013-07-30,BAJAJFINSV,ITC,AXISBANK,TATAMOTORS,ASIANPAINT
2013-07-31,BAJAJFINSV,TATAMOTORS,ITC,AXISBANK,TATASTEEL
2013-08-01,BAJAJFINSV,JSWSTEEL,AXISBANK,TCS,HDFC
2013-08-02,BAJAJFINSV,AXISBANK,INFY,BPCL,ONGC
2013-08-05,TATAMOTORS,ADANIPORTS,ITC,HINDUNILVR,HCLTECH
2013-08-06,BAJAJFINSV,AXISBANK,ITC,TITAN,LT
2013-08-07,HINDUNILVR,TCS,ITC,JSWSTEEL,APOLLOHOSP
2013-08-08,ASIANPAINT,BHARTIARTL,EICHERMOT,HDFCBANK,SUNPHARMA
2013-08-12,TATAMOTORS,SUNPHARMA,AXISBANK,SBIN,LT
2013-08-13,JSWSTEEL,BAJAJFINSV,ITC,INDUSINDBK,KOTAKBANK
2013-08-14,BHARTIARTL,POWERGRID,KOTAKBANK,HINDUNILVR,ADANIPORTS
