2019-05-27,TECHM,ONGC,DIVISLAB,KOTAKBANK,INDUSINDBK
2019-05-28,TECHM,ONGC,BAJAJ-AUTO,WIPRO,TATASTEEL
2019-05-29,BPCL,ONGC,TITAN,ULTRACEMCO,BAJAJFINSV
2019-05-30,HDFCBANK,AXISBANK,HEROMOTOCO,TITAN,ULTRACEMCO
2019-05-31,CIPLA,SBIN,ONGC,BAJFINANCE,ULTRACEMCO
2019-06-03,KOTAKBANK,INDUSINDBK,BAJFINANCE,HEROMOTOCO,CIPLA
2019-06-04,SHREECEM,ICICIBANK,AXISBANK,LT,KOTAKBANK
2019-06-06,LT,SHREECEM,UPL,ICICIBANK,KOTAKBANK
2019-06-07,NTPC,BAJAJFINSV,HEROMOTOCO,RELIANCE,ONGC
2019-06-10,KOTAKBANK,NTPC,ADANIPORTS,BPCL,DIVISLAB
2019-06-11,ADANIPORTS,SBIN,RELIANCE,KOTAKBANK,BHARTIARTL
2019-06-12,LT,KOTAKBANK,GRASIM,NTPC,SBIN
2019-06-13,INDUSINDBK,KOTAKBANK,NESTLEIND,ADANIPORTS,TITAN
2019-06-14,HINDUNILVR,CIPLA,HEROMOTOCO,ADANIPORTS,NESTLEIND
2019-06-17,HEROMOTOCO,ADANIPORTS,AXISBANK,BAJFINANCE,HCLTECH
2019-06-18,APOLLOHOSP,HEROMOTOCO,TATASTEEL,HDFC,INDUSINDBK
2019-06-19,APOLLOHOSP,NTPC,TATASTEEL,ASIANPAINT,HDFCBANK
2019-06-20,TATASTEEL,INDUSINDBK,HDFC,HCLTECH,ADANIPORTS
2019-06-21,HEROMOTOCO,INDUSINDBK,JSWSTEEL,WIPRO,ADANIPORTS
2019-06-24,NTPC,NESTLEIND,POWERGRID,ADANIPORTS,BHARTIARTL
2019-06-25,INDUSINDBK,ICICIBANK,TATASTEEL,HINDUNILVR,BAJFINANCE
2019-06-26,INDUSINDBK,BAJFINANCE,HCLTECH,TATASTEEL,BAJAJFINSV
2019-06-27,TATASTEEL,HDFCBANK,BAJFINANCE,TITAN,NTPC
2019-06-28,BAJFINANCE,NTPC,BPCL,KOTAKBANK,DIVISLAB
2019-07-01,BPCL,POWERGRID,ONGC,UPL,BHARTIARTL
2019-07-02,ICICIBANK,TATASTEEL,NTPC,LT,TECHM
2019-07-03,NTPC,TATASTEEL,HINDUNILVR,CIPLA,UPL
2019-07-04,TATASTEEL,NTPC,HDFC,TITAN,TATAMOTORS
2019-07-05,ICICIBANK,HEROMOTOCO,NESTLEIND,TATASTEEL,TCS
2019-07-08,WIPRO,ICICIBANK,DIVISLAB,POWERGRID,LT
2019-07-09,TITAN,HDFCBANK,TCS,HEROMOTOCO,WIPRO
2019-07-10,TATASTEEL,WIPRO,DRREDDY,CIPLA,TITAN
2019-07-11,BHARTIARTL,DRREDDY,HDFC,BPCL,BAJAJ-AUTO
2019-07-12,ICICIBANK,TITAN,ONGC,TATASTEEL,GRASIM
2019-07-15,HEROMOTOCO,POWERGRID,HDFCBANK,SBIN,BHARTIARTL
2019-07-16,TITAN,SBIN,SHREECEM,APOLLOHOSP,ICICIBANK
2019-07-17,TITAN,HDFCBANK,SBIN,BPCL,HEROMOTOCO
2019-07-18,GRASIM,LT,ICICIBANK,INDUSINDBK,TITAN
2019-07-19,POWERGRID,INDUSINDBK,DIVISLAB,DRREDDY,HEROMOTOCO
2019-07-22,BAJFINANCE,HDFCBANK,BAJAJ-AUTO,TITAN,BAJAJFINSV
2019-07-23,BAJFINANCE,BAJAJ-AUTO,HEROMOTOCO,HDFCBANK,HDFC
2019-07-24,BAJAJ-AUTO,APOLLOHOSP,HEROMOTOCO,TCS,HDFCBANK
2019-07-25,BAJFINANCE,DIVISLAB,APOLLOHOSP,AXISBANK,INDUSINDBK
2019-07-26,BAJAJFINSV,BAJFINANCE,INDUSINDBK,ADANIPORTS,HEROMOTOCO
2019-07-29,NTPC,HDFCBANK,WIPRO,ULTRACEMCO,HEROMOTOCO
2019-07-30,INDUSINDBK,SBIN,POWERGRID,ULTRACEMCO,NESTLEIND
2019-07-31,ULTRACEMCO,INDUSINDBK,AXISBANK,KOTAKBANK,NESTLEIND
2019-08-01,ULTRACEMCO,INDUSINDBK,AXISBANK,HEROMOTOCO,SBIN
2019-08-02,SHREECEM,HDFCBANK,AXISBANK,HDFC,ADANIPORTS
2019-08-05,SHREECEM,AXISBANK,KOTAKBANK,NTPC,SBIN
2019-08-06,SHREECEM,ULTRACEMCO,AXISBANK,ADANIPORTS,BAJFINANCE
2019-08-07,ULTRACEMCO,SHREECEM,NTPC,RELIANCE,TITAN
2019-08-08,SHREECEM,ULTRACEMCO,RELIANCE,POWERGRID,CIPLA
2019-08-09,ULTRACEMCO,SHREECEM,JSWSTEEL,APOLLOHOSP,ASIANPAINT
2019-08-13,SHREECEM,ULTRACEMCO,DIVISLAB,INDUSINDBK,SBIN
2019-08-14,TATASTEEL,DRREDDY,HCLTECH,BHARTIARTL,NTPC
2019-08-16,SHREECEM,ULTRACEMCO,GRASIM,KOTAKBANK,ADANIPORTS
2019-08-19,HDFC,DIVISLAB,ADANIPORTS,UPL,POWERGRID
2019-08-20,BPCL,ICICIBANK,HDFC,KOTAKBANK,DIVISLAB
2019-08-21,ASIANPAINT,BHARTIARTL,TCS,KOTAKBANK,UPL
2019-08-22,KOTAKBANK,BAJAJFINSV,ASIANPAINT,HCLTECH,ICICIBANK
2019-08-23,UPL,SHREECEM,ICICIBANK,ASIANPAINT,RELIANCE
2019-08-26,INDUSINDBK,TATAMOTORS,APOLLOHOSP,JSWSTEEL,POWERGRID
2019-08-27,INDUSINDBK,POWERGRID,TECHM,WIPRO,TATASTEEL
2019-08-28,HDFC,HINDALCO,ASIANPAINT,TECHM,BAJAJ-AUTO
2019-08-29,HDFC,INDUSINDBK,KOTAKBANK,ICICIBANK,NTPC
2019-08-30,HDFC,KOTAKBANK,ASIANPAINT,DRREDDY,HINDALCO
2019-09-03,ASIANPAINT,APOLLOHOSP,TITAN,HDFC,TCS
2019-09-04,INDUSINDBK,ASIANPAINT,ICICIBANK,HEROMOTOCO,HDFC
2019-09-05,HDFC,ICICIBANK,APOLLOHOSP,TATASTEEL,ASIANPAINT
2019-09-06,HEROMOTOCO,TATASTEEL,HDFC,SUNPHARMA,SBIN
2019-09-09,NTPC,DIVISLAB,ASIANPAINT,HDFC,HEROMOTOCO
